rsm_name,customer_segment,support_status,credential,state,years_in_practice,practice_structure,referral_source,tests_interested_in,competitors_used,samples_per_week,hs_latest_source,customer_count,revenue,revenue_per_customer
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,11+ years,null,null,null,null,null,DIRECT_TRAFFIC,1,63832.92,63832.92
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,NV,null,null,null,null,null,null,EMAIL_MARKETING,1,63805.55,63805.55
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,NV,0-3 years,null,Vibrant Sales Rep,null,null,4-10,DIRECT_TRAFFIC,1,63518.54,63518.54
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,WY,11+ years,null,Other,null,null,null,DIRECT_TRAFFIC,1,59443.23,59443.23
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,NV,11+ years,null,Patient Requested Testing,Nutrients;Longevity,Microbiome Labs;Doctors Data;Cyrex Labs;Genova;Dutch,1-3,PAID_SEARCH,1,57122.14,57122.14
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,NV,0-3 years,null,Practitioner Referral,Gut Health;Nutrients;Hormones;Longevity;NutriProZ;Regenere,null,21+,EMAIL_MARKETING,1,52478.86,52478.86
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,null,null,null,Gut Health,null,null,OFFLINE,2,51597.81,25798.9
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,4-10 years,null,null,Infections,null,11-20,EMAIL_MARKETING,1,50702.0,50702.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,4-10 years,null,Practitioner Referral,Infections;Autoimmune;Toxins;Neural Health,Cyrex Labs;Dutch;Genova,4-10,EMAIL_MARKETING,1,50466.4,50466.4
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,WY,null,null,null,Food Reactions,null,null,DIRECT_TRAFFIC,1,45749.76,45749.76
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,CO,null,null,null,null,null,null,OFFLINE,3,42568.91,14189.63
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,CO,11+ years,null,null,null,null,1-3,DIRECT_TRAFFIC,4,42125.4,10531.35
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,CO,4-10 years,null,null,null,null,null,DIRECT_TRAFFIC,1,41964.8,41964.8
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,NV,null,null,null,null,null,null,OFFLINE,1,41530.0,41530.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,DO,WY,0-3 years,null,null,NutriProZ,BiomeFX,4-10,DIRECT_TRAFFIC,1,41440.29,41440.29
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,0-3 years,Pay-for-Service,null,null,null,1-3,DIRECT_TRAFFIC,1,39921.16,39921.16
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,null,null,null,null,null,null,DIRECT_TRAFFIC,2,39392.18,19696.09
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,UT,11+ years,null,null,null,null,4-10,REFERRALS,1,39300.0,39300.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,11+ years,null,null,null,null,4-10,DIRECT_TRAFFIC,1,39200.19,39200.19
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,CO,11+ years,null,null,null,null,1-3,ORGANIC_SEARCH,1,38510.94,38510.94
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,4-10 years,null,Conference/Event,Gut Health;Neural Health;Toxins;Nutrients;Autoimmune;Cardiovascular Health;Food Reactions;Hormones;Infections;Longevity,Dutch;Cyrex Labs;Great Plans/Mosaic;Diagnostic Solutions;IGeneX,4-10,EMAIL_MARKETING,1,37854.81,37854.81
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,4-10 years,null,Conference/Event,Nutrients;Hormones;Toxins;Gut Health;Infections;Autoimmune;NutriProZ,null,1-3,DIRECT_TRAFFIC,1,36074.35,36074.35
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,UT,4-10 years,null,null,null,null,11-20,REFERRALS,1,35056.27,35056.27
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,11+ years,null,Conference/Event,Gut Health;Neural Health;Toxins,null,1-3,DIRECT_TRAFFIC,1,34989.41,34989.41
Andrea Whitmarsh,Existing (Pre-2025),With Support,DO,CO,11+ years,Pay-for-Service,Practitioner Referral,Gut Health;Nutrients;NutriProZ,null,4-10,DIRECT_TRAFFIC,1,34590.0,34590.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,DO,NV,null,null,Practitioner Referral,Gut Health;Toxins;Nutrients;Autoimmune;Food Reactions;Hormones;Infections,null,null,DIRECT_TRAFFIC,1,33550.0,33550.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,NV,4-10 years,null,null,null,Cyrex Labs,4-10,DIRECT_TRAFFIC,1,33418.59,33418.59
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,NV,0-3 years,null,Vibrant Sales Rep,Toxins,IGeneX;Dutch;Doctors Data;Great Plans/Mosaic;Diagnostic Solutions,4-10,DIRECT_TRAFFIC,1,31980.0,31980.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,11+ years,null,Other,Longevity,Oxford/MRT,1-3,DIRECT_TRAFFIC,1,31903.01,31903.01
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,null,null,null,null,null,null,OFFLINE,1,31892.6,31892.6
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,null,null,null,null,null,null,PAID_SEARCH,1,31685.05,31685.05
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,null,null,null,Gut Health;NutriProZ;Toxins,null,null,EMAIL_MARKETING,1,30997.18,30997.18
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,NV,null,null,null,Longevity,null,null,DIRECT_TRAFFIC,1,30552.01,30552.01
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,11+ years,null,Conference/Event,Nutrients,Doctors Data;Dutch;SpectraCell;ZRT,null,DIRECT_TRAFFIC,1,27770.0,27770.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,WY,11+ years,null,null,null,null,1-3,EMAIL_MARKETING,1,27634.79,27634.79
Andrea Whitmarsh,Existing (Pre-2025),With Support,DO,WY,11+ years,null,null,null,null,4-10,DIRECT_TRAFFIC,1,27093.37,27093.37
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,null,null,Conference/Event,null,null,null,OFFLINE,1,25282.6,25282.6
Andrea Whitmarsh,Existing (Pre-2025),With Support,RD,CO,11+ years,null,null,Nutrients,Dutch;Microbiome Labs;Genova;SpectraCell,1-3,PAID_SEARCH,1,23970.09,23970.09
Andrea Whitmarsh,Existing (Pre-2025),No Support,Others,CO,4-10 years,null,null,null,Dutch;Cyrex Labs;Doctors Data;Genova;Great Plans/Mosaic,1-3,DIRECT_TRAFFIC,1,22545.84,22545.84
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,4-10 years,null,null,null,null,1-3,DIRECT_TRAFFIC,1,22509.19,22509.19
Andrea Whitmarsh,Existing (Pre-2025),No Support,Others,CO,null,null,Other,null,null,null,DIRECT_TRAFFIC,1,22320.0,22320.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,11+ years,null,null,Toxins;Nutrients,null,4-10,EMAIL_MARKETING,1,22240.0,22240.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,NP,CO,null,null,Practitioner Referral,null,null,null,DIRECT_TRAFFIC,2,21820.0,10910.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,11+ years,null,Vibrant Sales Rep,Gut Health;Neural Health;Toxins;Nutrients;Autoimmune;Cardiovascular Health;Food Reactions;Hormones;Infections;Longevity,Dutch,1-3,DIRECT_TRAFFIC,1,21030.0,21030.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,Others,CO,null,null,null,null,null,null,OFFLINE,3,20513.27,6837.75
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,11+ years,null,null,null,Diagnostic Solutions;Doctors Data,null,DIRECT_TRAFFIC,1,20431.68,20431.68
Andrea Whitmarsh,Existing (Pre-2025),With Support,DO,UT,11+ years,null,null,null,null,1-3,DIRECT_TRAFFIC,1,20390.0,20390.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,DO,CO,null,null,null,null,null,null,OFFLINE,1,20043.3,20043.3
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,UT,null,null,null,null,null,null,OFFLINE,1,19885.0,19885.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,UT,null,null,null,null,null,null,REFERRALS,1,19597.75,19597.75
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,11+ years,null,null,null,null,1-3,REFERRALS,1,19570.09,19570.09
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,0-3 years,null,Practitioner Referral,Toxins; Nutrients; Infections; Hormones; Gut Health; Food Reactions; Autoimmune,Dutch;Great Plans/Mosaic,4-10,EMAIL_MARKETING,1,19430.0,19430.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,CO,null,null,null,null,null,null,DIRECT_TRAFFIC,2,18069.87,9034.93
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,null,null,null,null,null,null,PAID_SEARCH,1,17305.0,17305.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,NP,CO,null,null,Practitioner Referral,null,null,null,OFFLINE,1,16949.0,16949.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,Others,CO,null,null,Practitioner Referral,null,null,null,DIRECT_TRAFFIC,1,16860.0,16860.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,RD,CO,11+ years,null,null,null,Diagnostic Solutions;Dutch;Cyrex Labs;Doctors Data;Microbiome Labs;SpectraCell;ZRT;Genova;Great Plans/Mosaic;Oxford/MRT,4-10,EMAIL_MARKETING,1,16678.2,16678.2
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,null,null,null,null,null,null,REFERRALS,1,16348.19,16348.19
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,null,null,null,null,null,null,OFFLINE,2,16146.94,8073.47
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,null,null,null,null,null,null,REFERRALS,1,16124.86,16124.86
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,UT,4-10 years,null,Other,Hormones;Nutrients;Autoimmune,null,null,DIRECT_TRAFFIC,1,16120.0,16120.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,null,null,null,NutriProZ;Longevity,null,null,DIRECT_TRAFFIC,1,14925.6,14925.6
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,UT,null,null,null,Gut Health,null,null,DIRECT_TRAFFIC,1,14476.2,14476.2
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,CO,4-10 years,null,Conference/Event,Hormones,null,4-10,DIRECT_TRAFFIC,1,14445.16,14445.16
Andrea Whitmarsh,Existing (Pre-2025),No Support,Others,NV,null,null,null,null,null,null,OFFLINE,1,14259.89,14259.89
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,NV,4-10 years,null,null,null,null,11-20,DIRECT_TRAFFIC,1,13855.54,13855.54
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,null,null,Practitioner Referral,Gut Health;Cardiovascular Health;Neural Health;Food Reactions;Toxins;Hormones;Nutrients;Infections;Autoimmune;Longevity,null,null,DIRECT_TRAFFIC,1,13775.57,13775.57
Andrea Whitmarsh,Existing (Pre-2025),No Support,DC,CO,4-10 years,null,null,null,Diagnostic Solutions;Genova;Oxford/MRT,1-3,DIRECT_TRAFFIC,1,13640.0,13640.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,MD,CO,null,null,null,null,null,null,OFFLINE,3,13581.04,4527.01
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,11+ years,null,Practitioner Referral,Toxins;Infections,null,1-3,EMAIL_MARKETING,1,13220.0,13220.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,UT,null,null,null,Cardiovascular Health;Gut Health;Hormones;Infections,null,null,OFFLINE,1,13182.83,13182.83
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,11+ years,null,null,null,null,1-3,REFERRALS,1,12228.94,12228.94
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,11+ years,null,null,Gut Health,null,1-3,EMAIL_MARKETING,1,11825.02,11825.02
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,4-10 years,null,Practitioner Referral,Gut Health;Neural Health;Toxins;Nutrients;Autoimmune;Cardiovascular Health;Food Reactions;Hormones;Infections;Longevity,null,1-3,ORGANIC_SEARCH,1,11550.13,11550.13
Andrea Whitmarsh,Existing (Pre-2025),No Support,MD,CO,null,null,null,Nutrients,null,null,EMAIL_MARKETING,1,11196.96,11196.96
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,11+ years,null,null,Gut Health,null,null,DIRECT_TRAFFIC,1,11151.46,11151.46
Andrea Whitmarsh,Existing (Pre-2025),No Support,ND,NV,null,null,null,null,null,null,DIRECT_TRAFFIC,1,10992.29,10992.29
Andrea Whitmarsh,Existing (Pre-2025),No Support,DO,UT,null,null,null,null,null,null,REFERRALS,1,10760.0,10760.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,NV,null,null,null,Gut Health;Food Reactions,Cyrex Labs,null,EMAIL_MARKETING,1,10751.24,10751.24
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,UT,null,null,null,null,null,null,OFFLINE,2,10560.0,5280.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,UT,11+ years,null,null,null,null,null,DIRECT_TRAFFIC,1,10490.0,10490.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,4-10 years,null,null,NutriProZ;Regenere,null,1-3,REFERRALS,1,10410.0,10410.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,NP,CO,null,null,null,NutriProZ,null,null,OFFLINE,1,10060.0,10060.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,UT,4-10 years,null,null,Nutrients;Hormones,null,1-3,DIRECT_TRAFFIC,1,10018.93,10018.93
Andrea Whitmarsh,Existing (Pre-2025),No Support,NP,NV,null,null,Practitioner Referral,null,null,null,DIRECT_TRAFFIC,1,10000.92,10000.92
Andrea Whitmarsh,Existing (Pre-2025),With Support,RD,CO,4-10 years,null,null,Gut Health;Nutrients,null,1-3,DIRECT_TRAFFIC,1,9840.0,9840.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,WY,null,null,null,null,null,null,EMAIL_MARKETING,1,9591.73,9591.73
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,WY,11+ years,null,Practitioner Referral,Longevity;NutriProZ;Regenere;Infections;Toxins;Gut Health;Hormones,null,1-3,PAID_SEARCH,1,9570.0,9570.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,null,null,null,null,null,null,EMAIL_MARKETING,2,9090.78,4545.39
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,4-10 years,null,Practitioner Referral,Hormones;Food Reactions;Gut Health,null,11-20,REFERRALS,1,8770.0,8770.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,0-3 years,null,Practitioner Referral,null,Dutch,1-3,EMAIL_MARKETING,1,8740.3,8740.3
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,11+ years,null,Practitioner Referral,Gut Health;Neural Health;Toxins;Nutrients;Autoimmune;Cardiovascular Health;Food Reactions;Hormones;Infections;Longevity,null,1-3,EMAIL_MARKETING,1,8606.88,8606.88
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,CO,0-3 years,null,Practitioner Referral,Gut Health;Infections,null,1-3,EMAIL_MARKETING,1,7770.0,7770.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,NP,UT,0-3 years,null,Practitioner Referral,Gut Health;Hormones;Longevity;Autoimmune;Toxins;Infections,Cell Science Systems;Cyrex Labs;IGeneX;Dutch;BiomeFX;ZRT;Genova;Microbiome Labs,null,DIRECT_TRAFFIC,1,7680.0,7680.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,NP,UT,0-3 years,null,null,null,BiomeFX;Dutch,null,DIRECT_TRAFFIC,1,7669.99,7669.99
Andrea Whitmarsh,Existing (Pre-2025),No Support,NP,UT,null,null,null,null,null,null,OFFLINE,2,7609.0,3804.5
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,11+ years,null,Practitioner Referral,Infections,null,4-10,DIRECT_TRAFFIC,1,7600.0,7600.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,DC,NV,4-10 years,null,null,null,null,1-3,DIRECT_TRAFFIC,1,7573.88,7573.88
Andrea Whitmarsh,Existing (Pre-2025),No Support,ND,CO,4-10 years,null,null,null,Genova;Great Plans/Mosaic;ZRT;SpectraCell;Doctors Data;Dutch;IGeneX;Diagnostic Solutions;Cell Science Systems,21+,DIRECT_TRAFFIC,1,7540.0,7540.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,DC,CO,4-10 years,null,null,null,Cyrex Labs;Genova;Cell Science Systems;Diagnostic Solutions;Dutch,null,DIRECT_TRAFFIC,1,7521.14,7521.14
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,null,null,Practitioner Referral,Gut Health;Neural Health;Toxins;Nutrients;Autoimmune;Cardiovascular Health;Food Reactions;Hormones;Infections;Longevity,null,null,DIRECT_TRAFFIC,1,7280.41,7280.41
Andrea Whitmarsh,Existing (Pre-2025),No Support,DC,CO,11+ years,null,null,null,null,1-3,DIRECT_TRAFFIC,2,7271.18,3635.59
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,UT,null,null,null,null,null,null,OFFLINE,1,7270.0,7270.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,4-10 years,null,Social Media,Toxins;Gut Health;Autoimmune;Nutrients;Food Reactions;Hormones,null,1-3,PAID_SEARCH,1,7020.0,7020.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,IN,null,null,null,null,null,null,EMAIL_MARKETING,1,6920.0,6920.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,11+ years,null,null,Toxins;Food Reactions,null,null,PAID_SEARCH,1,6916.64,6916.64
Andrea Whitmarsh,Existing (Pre-2025),No Support,ND,CO,null,null,null,null,null,null,OFFLINE,1,6480.0,6480.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,WY,0-3 years,null,null,null,null,1-3,DIRECT_TRAFFIC,1,6457.19,6457.19
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,NV,null,null,null,null,null,null,EMAIL_MARKETING,1,6239.8,6239.8
Andrea Whitmarsh,Existing (Pre-2025),No Support,Others,CO,11+ years,null,null,null,Dutch;ZRT;Genova;Great Plans/Mosaic,1-3,DIRECT_TRAFFIC,1,6204.02,6204.02
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,11+ years,null,null,Gut Health,null,4-10,DIRECT_TRAFFIC,1,6080.0,6080.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,RD,UT,null,null,null,null,null,null,ORGANIC_SEARCH,1,6077.15,6077.15
Andrea Whitmarsh,Existing (Pre-2025),No Support,ND,CO,4-10 years,null,Conference/Event,Gut Health;Neural Health;Toxins;Nutrients;Autoimmune;Food Reactions;Hormones;Infections,Dutch;Great Plans/Mosaic;Diagnostic Solutions,1-3,DIRECT_TRAFFIC,1,6005.0,6005.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,ND,UT,11+ years,null,null,null,Great Plans/Mosaic;Cell Science Systems;Dutch,4-10,DIRECT_TRAFFIC,1,6000.0,6000.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,0-3 years,null,null,null,null,1-3,DIRECT_TRAFFIC,1,5934.01,5934.01
Andrea Whitmarsh,Existing (Pre-2025),No Support,ND,UT,null,null,null,null,null,null,OFFLINE,2,5810.0,2905.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,DO,UT,4-10 years,null,Practitioner Referral,Gut Health;Food Reactions;Toxins;Hormones;Nutrients;Infections;Autoimmune,null,null,DIRECT_TRAFFIC,1,5720.0,5720.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,NP,CO,11+ years,null,null,null,null,4-10,DIRECT_TRAFFIC,1,5600.0,5600.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,ND,CO,null,null,null,null,null,null,EMAIL_MARKETING,1,5520.0,5520.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CA,null,null,null,null,null,null,DIRECT_TRAFFIC,1,5480.0,5480.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,11+ years,null,Other,null,null,null,ORGANIC_SEARCH,1,5469.0,5469.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,null,null,null,null,null,null,DIRECT_TRAFFIC,1,5179.76,5179.76
Andrea Whitmarsh,Existing (Pre-2025),With Support,RD,CO,null,null,null,null,null,null,EMAIL_MARKETING,1,5081.13,5081.13
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,null,null,null,Neural Health;NutriProZ;Regenere,null,null,PAID_SEARCH,1,4796.16,4796.16
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,4-10 years,null,Patient Requested Testing,Gut Health;Hormones,null,1-3,DIRECT_TRAFFIC,1,4576.79,4576.79
Andrea Whitmarsh,Existing (Pre-2025),No Support,DC,CO,11+ years,null,Other,null,null,1-3,DIRECT_TRAFFIC,1,4160.0,4160.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,CO,4-10 years,null,Practitioner Referral,Gut Health;Neural Health;Toxins;Nutrients;Autoimmune;Longevity;Infections;Hormones;Food Reactions;Cardiovascular Health,Genova;Oxford/MRT;Dutch;Microbiome Labs,1-3,DIRECT_TRAFFIC,1,4022.11,4022.11
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,NV,4-10 years,null,Other,Gut Health,ZRT,null,DIRECT_TRAFFIC,1,4000.0,4000.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,DC,CO,11+ years,null,null,null,null,null,DIRECT_TRAFFIC,2,3959.0,1979.5
Andrea Whitmarsh,Existing (Pre-2025),No Support,DC,CO,null,null,null,null,null,null,OFFLINE,2,3940.84,1970.42
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,CO,11+ years,null,null,null,Genova;Dutch;Diagnostic Solutions,1-3,PAID_SEARCH,1,3880.0,3880.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,0-3 years,null,Other,Gut Health;Toxins;Infections;Nutrients,Diagnostic Solutions;Cyrex Labs;Genova;Great Plans/Mosaic,1-3,DIRECT_TRAFFIC,1,3840.0,3840.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,11+ years,null,Practitioner Referral,Food Reactions;Gut Health,null,1-3,DIRECT_TRAFFIC,1,3800.0,3800.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,Others,CO,4-10 years,null,null,null,null,1-3,EMAIL_MARKETING,1,3686.89,3686.89
Andrea Whitmarsh,Existing (Pre-2025),No Support,Others,CO,0-3 years,null,null,null,null,1-3,DIRECT_TRAFFIC,1,3546.17,3546.17
Andrea Whitmarsh,Existing (Pre-2025),No Support,DC,UT,null,null,null,null,null,null,OFFLINE,1,3540.0,3540.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,4-10 years,null,Practitioner Referral,null,Great Plans/Mosaic,null,DIRECT_TRAFFIC,1,3320.0,3320.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,11+ years,null,null,null,null,null,DIRECT_TRAFFIC,1,3296.42,3296.42
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,11+ years,null,Other,Gut Health,null,null,EMAIL_MARKETING,1,3200.0,3200.0
Andrea Whitmarsh,Existing (Pre-2025),No Support,DC,CO,11+ years,null,null,Food Reactions;Toxins;NutriProZ,null,1-3,REFERRALS,1,3195.0,3195.0
